scope,model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
caffe,LR,0.5363171550671552,0.21465528759977015,0.33666666666666667,0.13767361035618172,0.39486445755627336,0.13367067971670243
caffe,SVM,0.6812698412698412,0.24572244272217253,0.24000000000000002,0.11325893433586842,0.33903866286219225,0.13422567487290538
caffe,NB,0.0,0.0,0.0,0.0,0.0,0.0
incubator-mxnet,LR,0.6171329494665408,0.11653173056970596,0.46166666666666667,0.10395898837699326,0.5230035565207437,0.09668747887094285
incubator-mxnet,SVM,0.6564433551198258,0.10950713138178615,0.375,0.10064447498411222,0.47185264453465503,0.09885097907339166
incubator-mxnet,NB,0.0,0.0,0.0,0.0,0.0,0.0
keras,LR,0.6800081408506605,0.06888616077516312,0.6227642276422765,0.07625496792381829,0.6478459226513421,0.06259207597240883
keras,SVM,0.7451543025569762,0.08577245078553367,0.4910569105691057,0.07379418533808696,0.589208436674068,0.06955219735584281
keras,NB,0.0,0.0,0.0,0.0,0.0,0.0
pytorch,LR,0.612658776025027,0.11347214965870633,0.5689655172413793,0.09742681402565033,0.5827689723315189,0.07838073644078025
pytorch,SVM,0.7651716821514237,0.12048801981797222,0.3954022988505747,0.10194441308460532,0.5122995076477964,0.09672949136939131
pytorch,NB,0.0,0.0,0.0,0.0,0.0,0.0
tensorflow,SVM,0.7591607959035959,0.040186243324882194,0.663888888888889,0.04461844798852179,0.7075213484010248,0.03558098265052367
tensorflow,LR,0.6494672248375156,0.03915070908692729,0.7611111111111111,0.04583408859264421,0.699939496599968,0.034101239138829474
tensorflow,NB,0.0,0.0,0.0,0.0,0.0,0.0
